precision,recall,threshold
0.5351681957186545,1.0,0.2732211004069828
0.5353728489483748,1.0,0.2798496693308495
0.5355776587605203,1.0,0.28748478248076853
0.5357826253348641,1.0,0.2911741316719428
0.5359877488514548,1.0,0.2931344831918068
0.5361930294906166,1.0,0.29465788178055735
0.5363984674329502,1.0,0.2958609846638391
0.536604062859333,1.0,0.2961807259107761
0.5368098159509203,1.0,0.29892171256904576
0.5370157268891446,1.0,0.29961989461146626
0.5372217958557176,1.0,0.30012123822338943
0.5374280230326296,1.0,0.30127009482488115
0.5376344086021505,1.0,0.30130396527394443
0.5378409527468305,1.0,0.3025920610597462
0.5380476556495004,1.0,0.3027013432625646
0.5382545174932718,1.0,0.30367979157380703
0.5384615384615384,1.0,0.304113596828268
0.5386687187379762,1.0,0.30591959187103057
0.5388760585065435,1.0,0.30903808794957655
0.5390835579514824,1.0,0.3094552396774709
0.539291217257319,1.0,0.3102263488220096
0.5394990366088632,1.0,0.31077003418112037
0.5397070161912105,1.0,0.3131249793240163
0.5399151561897416,1.0,0.3148515170488158
0.5401234567901234,1.0,0.3156806246160942
0.5403319181783095,1.0,0.31614959163384143
0.5405405405405406,1.0,0.3191417291198159
0.540749324063345,1.0,0.3196484884003977
0.5409582689335394,1.0,0.32137099314260226
0.5411673753382296,1.0,0.32170866246713276
0.5413766434648105,1.0,0.3218421698841564
0.5415860735009671,1.0,0.3223321940664292
0.541795665634675,1.0,0.32364777871176864
0.5420054200542005,1.0,0.3250208994110377
0.5422153369481022,1.0,0.3254201561570893
0.5424254165052306,1.0,0.3268189359355863
0.5426356589147286,1.0,0.32772702604445925
0.5428460643660333,1.0,0.3280234603367638
0.5430566330488751,1.0,0.32922023971352504
0.543267365153279,1.0,0.33012164011837364
0.5434782608695652,1.0,0.33015831254057026
0.5436893203883495,1.0,0.3308491534253774
0.5439005439005439,1.0,0.33092831334990286
0.5441119315973572,1.0,0.33115263389615346
0.5443234836702955,1.0,0.3319798289406711
0.544535200311163,1.0,0.3323020669653263
0.5447470817120622,1.0,0.3323060504874197
0.5449591280653951,1.0,0.33283703319411695
0.5451713395638629,1.0,0.3330601630519
0.5453837164004675,1.0,0.3330743626548987
0.5455962587685113,1.0,0.3340882771789173
0.5458089668615984,1.0,0.33511974330460115
0.5460218408736349,1.0,0.33537500323088587
0.5462348809988294,1.0,0.3369407892191307
0.546448087431694,1.0,0.3373944056960413
0.5466614603670441,1.0,0.3374115183938586
0.546875,1.0,0.33797110289479965
0.5466979288784681,0.9992857142857143,0.3387165492044153
0.5469116497263488,0.9992857142857143,0.33905009779799467
0.5471255377395385,0.9992857142857143,0.339077581829136
0.5469483568075117,0.9985714285714286,0.33936848897310784
0.5471624266144814,0.9985714285714286,0.33968771634130296
0.5473766640563822,0.9985714285714286,0.3398671275824979
0.5475910693301997,0.9985714285714286,0.34003958248773697
0.5478056426332288,0.9985714285714286,0.34006477110886846
0.5480203841630733,0.9985714285714286,0.3412492752534631
0.547843137254902,0.9978571428571429,0.3415723488376573
0.5480580619850922,0.9978571428571429,0.3416500443054966
0.5482731554160125,0.9978571428571429,0.34241029825835456
0.5484884177463683,0.9978571428571429,0.34291828341275354
0.5487038491751768,0.9978571428571429,0.3429184461290173
0.5489194499017682,0.9978571428571429,0.34436530338435795
0.5491352201257862,0.9978571428571429,0.34484794224891535
0.5493511600471883,0.9978571428571429,0.34565905957115145
0.549567269866247,0.9978571428571429,0.34570743434926837
0.5493900039354584,0.9971428571428571,0.34615121481327715
0.5496062992125984,0.9971428571428571,0.34615358562201554
0.5498227648680583,0.9971428571428571,0.3467580331581215
0.5500394011032309,0.9971428571428571,0.3479866886271626
0.5498620417816319,0.9964285714285714,0.34861734157651975
0.5500788643533123,0.9964285714285714,0.34876298032651176
0.5502958579881657,0.9964285714285714,0.3488632997600235
0.5505130228887135,0.9964285714285714,0.3491914747806474
0.5507303592577971,0.9964285714285714,0.35002738569567676
0.5509478672985783,0.9964285714285714,0.350101873425058
0.5511655472145397,0.9964285714285714,0.35029891437063915
0.5513833992094862,0.9964285714285714,0.35096815857435465
0.5516014234875445,0.9964285714285714,0.3518741779612333
0.5514240506329114,0.9957142857142857,0.3527844093186932
0.5516422635536209,0.9957142857142857,0.3529130397195744
0.5518606492478226,0.9957142857142857,0.35313737589624394
0.5520792079207921,0.9957142857142857,0.35381710341806066
0.5522979397781299,0.9957142857142857,0.3539316167649475
0.5521204914783987,0.995,0.35484762748590587
0.5523394131641555,0.995,0.3560414232535533
0.5525585085283617,0.995,0.3576208646188149
0.5527777777777778,0.995,0.35771513766566637
0.5529972211194919,0.995,0.35798546008878196
0.5532168387609213,0.995,0.3581609177327665
0.5534366309098133,0.995,0.35820009441842526
0.5536565977742448,0.995,0.3585699902724647
0.553479125248509,0.9942857142857143,0.358888579527169
0.5536992840095465,0.9942857142857143,0.3595256084487659
0.5539196179864704,0.9942857142857143,0.3599339226678412
0.554140127388535,0.9942857142857143,0.3599580905878108
0.5543608124253285,0.9942857142857143,0.36031293659967345
0.5541832669322709,0.9935714285714285,0.3604382837479568
0.5544041450777202,0.9935714285714285,0.3613412819092279
0.5546251993620415,0.9935714285714285,0.3624044178884317
0.5548464299960112,0.9935714285714285,0.3624044507490656
0.5550678371907423,0.9935714285714285,0.36277818088675956
0.5552894211576846,0.9935714285714285,0.36307183258663445
0.5555111821086262,0.9935714285714285,0.36349676735248515
0.5557331202556932,0.9935714285714285,0.3635636030590299
0.5555555555555556,0.9928571428571429,0.36359656484165576
0.5557776889244302,0.9928571428571429,0.36376750348543746
0.556,0.9928571428571429,0.36537802197307073
0.5562224889955982,0.9928571428571429,0.36544920339014997
0.5564451561248999,0.9928571428571429,0.3655647151760639
0.5566680016019223,0.9928571428571429,0.36557433778904164
0.5568910256410257,0.9928571428571429,0.3660724167090545
0.5571142284569138,0.9928571428571429,0.36643965760408714
0.5573376102646351,0.9928571428571429,0.36645440306942983
0.5575611712795828,0.9928571428571429,0.36707084720275873
0.557784911717496,0.9928571428571429,0.36716310120341067
0.55800883179446,0.9928571428571429,0.3674502744915104
0.5582329317269076,0.9928571428571429,0.3677441823280973
0.5584572117316191,0.9928571428571429,0.3684865438720896
0.5582797427652733,0.9921428571428571,0.36865520260769824
0.5585042219541616,0.9921428571428571,0.36872232409315747
0.5587288817377313,0.9921428571428571,0.3690195190868841
0.558953722334004,0.9921428571428571,0.36908387901705736
0.5591787439613527,0.9921428571428571,0.36966973703027667
