fpr,tpr
0.0,0.0
0.0,0.0007142857142857143
0.0,0.005714285714285714
0.0008223684210526315,0.005714285714285714
0.0008223684210526315,0.0064285714285714285
0.001644736842105263,0.0064285714285714285
0.001644736842105263,0.009285714285714286
0.0024671052631578946,0.009285714285714286
0.0024671052631578946,0.012142857142857143
0.003289473684210526,0.012142857142857143
0.003289473684210526,0.012857142857142857
0.004111842105263158,0.012857142857142857
0.004111842105263158,0.015
0.004934210526315789,0.015
0.004934210526315789,0.017857142857142856
0.006578947368421052,0.017857142857142856
0.006578947368421052,0.018571428571428572
0.009046052631578948,0.018571428571428572
0.009046052631578948,0.025714285714285714
0.009868421052631578,0.025714285714285714
0.009868421052631578,0.02642857142857143
0.011513157894736841,0.02642857142857143
0.011513157894736841,0.035
0.012335526315789474,0.035
0.012335526315789474,0.04214285714285714
0.013157894736842105,0.04285714285714286
0.013157894736842105,0.04428571428571428
0.013980263157894737,0.04428571428571428
0.013980263157894737,0.05071428571428571
0.014802631578947368,0.05071428571428571
0.014802631578947368,0.05142857142857143
0.01644736842105263,0.05142857142857143
0.01644736842105263,0.05357142857142857
0.017269736842105265,0.05357142857142857
0.017269736842105265,0.054285714285714284
0.018092105263157895,0.054285714285714284
0.018092105263157895,0.06142857142857143
0.018914473684210526,0.06142857142857143
0.018914473684210526,0.062142857142857146
0.019736842105263157,0.062142857142857146
0.019736842105263157,0.06642857142857143
0.02055921052631579,0.06642857142857143
0.02055921052631579,0.06714285714285714
0.022203947368421052,0.06714285714285714
0.022203947368421052,0.07571428571428572
0.023026315789473683,0.07571428571428572
0.023026315789473683,0.07714285714285714
0.024671052631578948,0.07714285714285714
0.024671052631578948,0.07857142857142857
0.02631578947368421,0.07857142857142857
0.02631578947368421,0.07928571428571428
0.027138157894736843,0.07928571428571428
0.027138157894736843,0.08
0.027960526315789474,0.08
0.027960526315789474,0.08357142857142857
0.028782894736842105,0.08357142857142857
0.028782894736842105,0.085
0.029605263157894735,0.085
0.029605263157894735,0.08928571428571429
0.03042763157894737,0.08928571428571429
0.03042763157894737,0.09
0.03125,0.09
0.03125,0.09714285714285714
0.032072368421052634,0.09714285714285714
0.032072368421052634,0.09785714285714285
0.03289473684210526,0.09785714285714285
0.03289473684210526,0.10142857142857142
0.033717105263157895,0.10142857142857142
0.033717105263157895,0.10214285714285715
0.03453947368421053,0.10214285714285715
0.03453947368421053,0.10428571428571429
0.03536184210526316,0.10428571428571429
0.03536184210526316,0.10642857142857143
0.03618421052631579,0.10642857142857143
0.03618421052631579,0.10785714285714286
0.03700657894736842,0.10785714285714286
0.03700657894736842,0.11571428571428571
0.038651315789473686,0.11571428571428571
0.038651315789473686,0.11857142857142858
0.039473684210526314,0.11857142857142858
0.039473684210526314,0.12
0.04029605263157895,0.12
0.04029605263157895,0.12785714285714286
0.04111842105263158,0.12785714285714286
0.04111842105263158,0.13285714285714287
0.04194078947368421,0.13285714285714287
0.04194078947368421,0.13357142857142856
0.04194078947368421,0.135
0.04276315789473684,0.135
0.04276315789473684,0.1407142857142857
0.044407894736842105,0.1407142857142857
0.044407894736842105,0.14142857142857143
0.04523026315789474,0.14142857142857143
0.04523026315789474,0.14285714285714285
0.047697368421052634,0.14285714285714285
0.047697368421052634,0.145
0.04851973684210526,0.145
0.04851973684210526,0.15214285714285714
0.049342105263157895,0.15214285714285714
0.049342105263157895,0.15285714285714286
0.05016447368421053,0.15285714285714286
0.05016447368421053,0.155
0.05098684210526316,0.155
0.05098684210526316,0.16
0.05180921052631579,0.16
0.05180921052631579,0.16285714285714287
0.05263157894736842,0.16285714285714287
0.05263157894736842,0.16357142857142856
0.05263157894736842,0.165
0.05263157894736842,0.16857142857142857
0.05345394736842105,0.16857142857142857
0.05345394736842105,0.1692857142857143
0.054276315789473686,0.1692857142857143
0.054276315789473686,0.17714285714285713
0.055098684210526314,0.17714285714285713
0.055098684210526314,0.17785714285714285
0.05674342105263158,0.17785714285714285
0.05674342105263158,0.18071428571428572
0.05756578947368421,0.18071428571428572
0.05756578947368421,0.18214285714285713
0.05838815789473684,0.18214285714285713
0.05838815789473684,0.18285714285714286
0.060032894736842105,0.18285714285714286
0.060032894736842105,0.18714285714285714
0.06085526315789474,0.18714285714285714
0.06085526315789474,0.18785714285714286
0.06332236842105263,0.18785714285714286
0.06332236842105263,0.2
0.06414473684210527,0.2007142857142857
0.06414473684210527,0.20357142857142857
0.06414473684210527,0.205
0.06414473684210527,0.2057142857142857
0.0649671052631579,0.2057142857142857
0.0649671052631579,0.20642857142857143
0.06578947368421052,0.20642857142857143
0.06578947368421052,0.21214285714285713
0.06661184210526316,0.21214285714285713
0.06661184210526316,0.215
0.06825657894736842,0.215
0.06825657894736842,0.21642857142857144
0.06907894736842106,0.21642857142857144
0.06907894736842106,0.21785714285714286
0.06990131578947369,0.21928571428571428
0.06990131578947369,0.22071428571428572
0.07072368421052631,0.22071428571428572
0.07072368421052631,0.22642857142857142
0.07236842105263158,0.22642857142857142
0.07236842105263158,0.22857142857142856
0.07319078947368421,0.22857142857142856
0.07319078947368421,0.2292857142857143
0.0756578947368421,0.2292857142857143
0.0756578947368421,0.2307142857142857
0.07648026315789473,0.2307142857142857
0.07648026315789473,0.235
0.07730263157894737,0.235
0.07730263157894737,0.2357142857142857
0.07894736842105263,0.2357142857142857
0.07894736842105263,0.23642857142857143
0.07894736842105263,0.23785714285714285
0.07894736842105263,0.24
0.07976973684210527,0.24
0.07976973684210527,0.24071428571428571
0.0805921052631579,0.24071428571428571
0.0805921052631579,0.24142857142857144
0.08141447368421052,0.24214285714285713
0.08141447368421052,0.24357142857142858
0.08223684210526316,0.24357142857142858
0.08223684210526316,0.245
0.08305921052631579,0.24571428571428572
0.08305921052631579,0.25142857142857145
0.08388157894736842,0.25142857142857145
0.08388157894736842,0.25357142857142856
0.08470394736842106,0.25357142857142856
0.08470394736842106,0.2542857142857143
0.08634868421052631,0.2542857142857143
0.08634868421052631,0.255
0.08799342105263158,0.255
0.08799342105263158,0.2571428571428571
0.08963815789473684,0.2571428571428571
0.08963815789473684,0.2592857142857143
0.0912828947368421,0.2592857142857143
0.09210526315789473,0.2592857142857143
0.09210526315789473,0.26071428571428573
0.09292763157894737,0.26071428571428573
0.09292763157894737,0.26142857142857145
0.09457236842105263,0.26142857142857145
0.09457236842105263,0.26285714285714284
0.09539473684210527,0.26285714285714284
0.09539473684210527,0.26357142857142857
0.0962171052631579,0.26357142857142857
0.0962171052631579,0.265
0.09786184210526316,0.265
0.09786184210526316,0.26857142857142857
0.09868421052631579,0.26857142857142857
0.09868421052631579,0.2692857142857143
0.10115131578947369,0.2692857142857143
0.10115131578947369,0.27214285714285713
0.10197368421052631,0.27214285714285713
0.10197368421052631,0.2735714285714286
0.10279605263157894,0.2735714285714286
0.10279605263157894,0.2785714285714286
0.10526315789473684,0.2785714285714286
0.10526315789473684,0.28
0.10608552631578948,0.28
0.10608552631578948,0.2814285714285714
0.10773026315789473,0.2814285714285714
0.10773026315789473,0.28214285714285714
0.109375,0.28214285714285714
0.109375,0.2842857142857143
0.11019736842105263,0.2842857142857143
0.11019736842105263,0.29
0.11101973684210527,0.29
0.11101973684210527,0.29214285714285715
0.11101973684210527,0.2935714285714286
0.11101973684210527,0.29642857142857143
0.11266447368421052,0.29642857142857143
0.11266447368421052,0.29714285714285715
0.11348684210526316,0.29714285714285715
0.11348684210526316,0.3007142857142857
0.11430921052631579,0.3007142857142857
0.11430921052631579,0.30214285714285716
0.11513157894736842,0.30214285714285716
0.11513157894736842,0.30357142857142855
0.11759868421052631,0.30357142857142855
0.11759868421052631,0.30428571428571427
0.11842105263157894,0.3057142857142857
0.11924342105263158,0.3057142857142857
0.11924342105263158,0.30714285714285716
0.12006578947368421,0.30714285714285716
0.12006578947368421,0.30857142857142855
0.12088815789473684,0.3092857142857143
0.12088815789473684,0.3157142857142857
0.12171052631578948,0.31642857142857145
0.12171052631578948,0.31857142857142856
0.12171052631578948,0.32
0.12171052631578948,0.3242857142857143
0.12335526315789473,0.3242857142857143
0.12335526315789473,0.3264285714285714
0.12417763157894737,0.3264285714285714
0.12417763157894737,0.3271428571428571
0.125,0.3271428571428571
0.125,0.33071428571428574
0.12582236842105263,0.3314285714285714
0.12582236842105263,0.33214285714285713
0.12664473684210525,0.33214285714285713
0.12664473684210525,0.33285714285714285
0.12664473684210525,0.3342857142857143
0.12664473684210525,0.33785714285714286
0.12828947368421054,0.33785714285714286
0.12828947368421054,0.3385714285714286
0.12911184210526316,0.3385714285714286
0.1299342105263158,0.3392857142857143
0.1299342105263158,0.3414285714285714
0.13075657894736842,0.3414285714285714
0.13075657894736842,0.34214285714285714
0.13157894736842105,0.34214285714285714
0.13157894736842105,0.3442857142857143
0.13240131578947367,0.3442857142857143
0.13240131578947367,0.34785714285714286
0.13404605263157895,0.34785714285714286
0.13404605263157895,0.3507142857142857
0.13651315789473684,0.3507142857142857
0.13815789473684212,0.3514285714285714
0.13815789473684212,0.35285714285714287
0.13898026315789475,0.35285714285714287
0.13898026315789475,0.35428571428571426
0.13898026315789475,0.35642857142857143
0.13980263157894737,0.35642857142857143
0.13980263157894737,0.35928571428571426
0.140625,0.35928571428571426
0.140625,0.36214285714285716
0.14309210526315788,0.36214285714285716
0.14309210526315788,0.36357142857142855
0.14391447368421054,0.365
0.14473684210526316,0.3657142857142857
0.14473684210526316,0.36642857142857144
0.1455592105263158,0.36642857142857144
0.1455592105263158,0.36714285714285716
0.1455592105263158,0.36857142857142855
0.14638157894736842,0.36857142857142855
0.14638157894736842,0.37
0.14720394736842105,0.37
0.14720394736842105,0.3707142857142857
0.14802631578947367,0.3707142857142857
0.14884868421052633,0.37142857142857144
0.14884868421052633,0.37214285714285716
0.1513157894736842,0.37214285714285716
0.1513157894736842,0.37357142857142855
0.15296052631578946,0.37357142857142855
0.15296052631578946,0.3742857142857143
0.15378289473684212,0.3742857142857143
0.15378289473684212,0.37714285714285717
0.15625,0.37714285714285717
0.15625,0.38642857142857145
0.15871710526315788,0.38642857142857145
0.15871710526315788,0.38785714285714284
0.16200657894736842,0.38785714285714284
0.16200657894736842,0.3921428571428571
0.16365131578947367,0.3921428571428571
0.16365131578947367,0.39285714285714285
0.16447368421052633,0.39285714285714285
0.16447368421052633,0.39357142857142857
0.16529605263157895,0.39357142857142857
0.16529605263157895,0.3942857142857143
0.16776315789473684,0.3942857142857143
0.16776315789473684,0.39571428571428574
0.16858552631578946,0.39571428571428574
0.16858552631578946,0.39785714285714285
0.16940789473684212,0.39785714285714285
0.16940789473684212,0.3992857142857143
0.171875,0.3992857142857143
0.17269736842105263,0.4014285714285714
0.17269736842105263,0.40285714285714286
0.17351973684210525,0.40285714285714286
0.17351973684210525,0.4042857142857143
0.1768092105263158,0.4042857142857143
0.1768092105263158,0.40714285714285714
0.17763157894736842,0.40714285714285714
0.17763157894736842,0.40785714285714286
0.17845394736842105,0.40785714285714286
0.17845394736842105,0.4085714285714286
0.18009868421052633,0.4085714285714286
0.18009868421052633,0.4092857142857143
0.18092105263157895,0.4092857142857143
0.18092105263157895,0.41
0.1825657894736842,0.41
0.1825657894736842,0.4114285714285714
0.18503289473684212,0.4114285714285714
0.18503289473684212,0.4157142857142857
0.18585526315789475,0.4157142857142857
0.18585526315789475,0.41714285714285715
0.18667763157894737,0.41714285714285715
0.18667763157894737,0.41785714285714287
0.18832236842105263,0.41785714285714287
0.18914473684210525,0.41928571428571426
0.18914473684210525,0.42
0.19078947368421054,0.42
0.19078947368421054,0.42428571428571427
0.19161184210526316,0.42714285714285716
0.19161184210526316,0.42857142857142855
0.1924342105263158,0.42857142857142855
0.1924342105263158,0.42928571428571427
0.19325657894736842,0.42928571428571427
0.19325657894736842,0.43142857142857144
0.19572368421052633,0.43142857142857144
0.19572368421052633,0.4328571428571429
0.19654605263157895,0.4328571428571429
0.19654605263157895,0.43857142857142856
0.19736842105263158,0.43857142857142856
0.19736842105263158,0.4407142857142857
0.19901315789473684,0.4407142857142857
0.20065789473684212,0.4407142857142857
0.20065789473684212,0.4421428571428571
0.20230263157894737,0.4421428571428571
0.20230263157894737,0.44357142857142856
0.203125,0.44357142857142856
0.203125,0.4442857142857143
0.20394736842105263,0.4442857142857143
0.20394736842105263,0.4492857142857143
0.20476973684210525,0.4492857142857143
0.20476973684210525,0.45
0.20641447368421054,0.45
0.20723684210526316,0.45071428571428573
0.2080592105263158,0.45071428571428573
0.2080592105263158,0.4514285714285714
0.20888157894736842,0.4514285714285714
0.20888157894736842,0.45357142857142857
0.20970394736842105,0.45357142857142857
0.20970394736842105,0.4564285714285714
0.21052631578947367,0.45785714285714285
0.21217105263157895,0.45785714285714285
0.21217105263157895,0.4585714285714286
0.21299342105263158,0.4585714285714286
0.21299342105263158,0.4592857142857143
0.2138157894736842,0.4592857142857143
0.2138157894736842,0.4607142857142857
0.21463815789473684,0.4614285714285714
0.21546052631578946,0.4614285714285714
0.21546052631578946,0.46285714285714286
0.21628289473684212,0.46285714285714286
0.21628289473684212,0.4657142857142857
0.21710526315789475,0.4657142857142857
0.21710526315789475,0.46785714285714286
0.21792763157894737,0.46785714285714286
0.21792763157894737,0.4685714285714286
0.22039473684210525,0.4685714285714286
0.22039473684210525,0.4735714285714286
0.22121710526315788,0.4735714285714286
0.22121710526315788,0.47928571428571426
0.22203947368421054,0.47928571428571426
0.22203947368421054,0.48
0.22286184210526316,0.48
0.22286184210526316,0.4807142857142857
0.2236842105263158,0.4807142857142857
0.2236842105263158,0.48142857142857143
0.22450657894736842,0.48142857142857143
0.22450657894736842,0.48214285714285715
0.22532894736842105,0.48214285714285715
0.22532894736842105,0.4835714285714286
0.22532894736842105,0.48642857142857143
0.22532894736842105,0.4878571428571429
0.22615131578947367,0.48857142857142855
0.22615131578947367,0.49
0.22697368421052633,0.49
0.22697368421052633,0.49142857142857144
0.22779605263157895,0.49142857142857144
0.22779605263157895,0.49357142857142855
0.22861842105263158,0.49357142857142855
0.22861842105263158,0.4942857142857143
0.2294407894736842,0.4942857142857143
0.2294407894736842,0.495
0.23026315789473684,0.495
0.23026315789473684,0.4957142857142857
0.23108552631578946,0.4957142857142857
0.23108552631578946,0.49785714285714283
