precision,recall,threshold
0.5351681957186545,1.0,0.20326883148133812
0.5353728489483748,1.0,0.2074455113088979
0.5355776587605203,1.0,0.21359198534802357
0.5357826253348641,1.0,0.21448682371901145
0.5359877488514548,1.0,0.21676462778861663
0.5361930294906166,1.0,0.21808263899382743
0.5363984674329502,1.0,0.21817396096107639
0.536604062859333,1.0,0.21867968678268096
0.5370157268891446,1.0,0.2194981399450705
0.5372217958557176,1.0,0.2227939413284022
0.5376344086021505,1.0,0.22301875655627035
0.5378409527468305,1.0,0.2234002021929502
0.5380476556495004,1.0,0.22407758543426098
0.5382545174932718,1.0,0.22491042578196005
0.5384615384615384,1.0,0.2256751436581994
0.5386687187379762,1.0,0.22719624707704783
0.5388760585065435,1.0,0.2272902760223296
0.5390835579514824,1.0,0.2273514261368524
0.539291217257319,1.0,0.2280372721258706
0.5394990366088632,1.0,0.22858684526603795
0.5397070161912105,1.0,0.23112202211519584
0.5399151561897416,1.0,0.23138071418308298
0.5401234567901234,1.0,0.23274174704406264
0.5403319181783095,1.0,0.23328740527195077
0.5405405405405406,1.0,0.23362092613459878
0.540749324063345,1.0,0.23494373375768096
0.5409582689335394,1.0,0.2352712830826604
0.5411673753382296,1.0,0.23626305817183949
0.5413766434648105,1.0,0.23680781171832596
0.541795665634675,1.0,0.24019904919214705
0.5420054200542005,1.0,0.2402100653083102
0.5422153369481022,1.0,0.24075001722697031
0.5426356589147286,1.0,0.24115673365247722
0.5428460643660333,1.0,0.24219651789525956
0.5430566330488751,1.0,0.24284904732273288
0.543267365153279,1.0,0.24389484478991774
0.5434782608695652,1.0,0.2446769314596495
0.5436893203883495,1.0,0.2480207475504621
0.5439005439005439,1.0,0.2522659776000969
0.5441119315973572,1.0,0.2550604939049141
0.5443234836702955,1.0,0.25512676285678626
0.544535200311163,1.0,0.26004532706507033
0.5443579766536965,0.9992857142857143,0.26139948704993604
0.5445698715453484,0.9992857142857143,0.2635846212599678
0.5449941566030385,0.9992857142857143,0.26368857153509434
0.5452065471551052,0.9992857142857143,0.26451424194982687
0.5450292397660819,0.9985714285714286,0.2658599429430646
0.5452418096723869,0.9985714285714286,0.26586545144512647
0.5454545454545454,0.9985714285714286,0.26631174089436793
0.5456674473067916,0.9985714285714286,0.266551046878878
0.5458805154236627,0.9985714285714286,0.26800130649704657
0.54609375,0.9985714285714286,0.2695224398894211
0.5463071512309496,0.9985714285714286,0.2707573212742112
0.5465207193119624,0.9985714285714286,0.2710014990653211
0.5467344544387954,0.9985714285714286,0.27305101595306647
0.5471624266144814,0.9985714285714286,0.2732384276258028
0.5473766640563822,0.9985714285714286,0.2738595138680817
0.5475910693301997,0.9985714285714286,0.2741894188696326
0.5478056426332288,0.9985714285714286,0.2749183465946813
0.5480203841630733,0.9985714285714286,0.27577683745067216
0.5484503726951746,0.9985714285714286,0.27595334947325534
0.5486656200941915,0.9985714285714286,0.2760171573014427
0.5488810365135454,0.9985714285714286,0.2760279901904407
0.5493123772102161,0.9985714285714286,0.2763872740732841
0.5495283018867925,0.9985714285714286,0.27654563334804005
0.5497443963822257,0.9985714285714286,0.2767972186414204
0.5499606608969315,0.9985714285714286,0.2775037399973339
0.5501770956316411,0.9985714285714286,0.27775586227593596
0.5502166207168177,0.9978571428571429,0.27846388838682407
0.5504334121355398,0.9978571428571429,0.27874909916644874
0.5506503744580212,0.9978571428571429,0.27935598162873604
0.5510848126232741,0.9978571428571429,0.2797121185142531
0.5513022888713497,0.9978571428571429,0.28057955558641023
0.551519936833794,0.9978571428571429,0.28285479837834726
0.5519557487159226,0.9978571428571429,0.28310987726028236
0.5523922499011467,0.9978571428571429,0.2832975148819265
0.5526107594936709,0.9978571428571429,0.2839999725740638
0.5524337158686189,0.9971428571428571,0.28596056581188756
0.5522565320665083,0.9964285714285714,0.2867465108571461
0.5524752475247525,0.9964285714285714,0.28676877455416405
0.5526941362916006,0.9964285714285714,0.2877259032766649
0.5531324345757336,0.9964285714285714,0.28810894212327826
0.5533518445061484,0.9964285714285714,0.2883321304756498
0.5535714285714286,0.9964285714285714,0.2889987869536489
0.5537911869789599,0.9964285714285714,0.2891803825783684
0.5540111199364575,0.9964285714285714,0.2896190239547188
