variable,Perm_mean,Perm_std
estu_valormatriculauniversidad,0.021499999999999974,0.00602672619018224
estu_genero,0.018285714285714266,0.005598833697790121
edad,0.016285714285714254,0.0069678562275755414
inst_origen,0.015535714285714253,0.005004462294507048
fami_ocupacionpadre,0.004821428571428543,0.0022798473812149487
fami_tienemotocicleta,0.0039999999999999645,0.0017554579610635018
fami_educacionpadre,0.0017499999999999738,0.003673366636884976
fami_ocupacionmadre,0.001535714285714257,0.0031157516209199443
fami_tienecomputador,0.0014285714285714012,0.001659850005517458
fami_educacionmadre,0.0005357142857142616,0.0032172605281702666
estu_horassemanatrabaja,0.000357142857142817,0.0030346636837497148
fami_tieneautomovil,0.00035714285714281144,0.0022188892238584495
estu_metodo_prgm,-3.5714285714288915e-05,0.00015567496226932375
fami_tieneinternet,-0.001392857142857179,0.00174196405689389
fami_estratovivienda,-0.0015714285714286014,0.0022314999074019076
estu_tituloobtenidobachiller,-0.0018571428571428962,0.0020995626366712944
estu_pagomatricula,-0.0034642857142857418,0.004398950477798365
inst_caracter_academico,-0.010750000000000037,0.003876110769041232
