modelo,recall_1,recall_1_ic_low,recall_1_ic_high,auc,auc_ic_low,auc_ic_high,f1,f1_ic_low,f1_ic_high,precision,precision_ic_low,precision_ic_high
Random Forest,0.8028571428571428,0.7814882881152173,0.8248076731922845,0.728499177631579,0.7098252865723417,0.7484407905969904,0.7221329906842274,0.7047735070695624,0.7399190173300408,0.6561587857559836,0.6343281374194119,0.6789283808163191
Ridge,0.7392857142857143,0.7165939874905525,0.7630463386727689,0.6977214520676692,0.6787702281212088,0.7164828506561521,0.6946308724832215,0.6763687322829259,0.7133904674126984,0.6550632911392406,0.6319035241993639,0.6780871019410621
Logistica,0.7285714285714285,0.7058738830305341,0.7520969598148753,0.7230498120300752,0.7047428689830351,0.7421318732052318,0.7034482758620689,0.6860190237920895,0.7217948506564461,0.68,0.6567138806070969,0.7030684362242284
Lasso,0.725,0.7011477654674468,0.7496590909090909,0.7052475916353383,0.6855746574102375,0.7246095684549202,0.6888361045130641,0.6692476875155876,0.7079188241066428,0.6561085972850679,0.6331325914469238,0.6798981000940848
XGBoost,0.7071428571428572,0.6834574965727369,0.7309654640251296,0.7362291470864661,0.7175194760883833,0.756593909204534,0.7006369426751592,0.6816914628226097,0.7201142413122172,0.6942496493688639,0.6708552611022582,0.7180442868836672
KNN,0.6957142857142857,0.6690390135773396,0.7198638388797963,0.6662961113721806,0.6464774299834093,0.6860664136537613,0.6721877156659766,0.652458262023214,0.691057530870324,0.650200267022697,0.6265445915701192,0.672952030898007
