precision,recall,threshold
0.5351681957186545,1.0,0.0
0.5395600154380548,0.9985714285714286,0.09090909090909091
0.5516693163751988,0.9914285714285714,0.18181818181818182
0.5661888701517707,0.9592857142857143,0.2727272727272727
0.5877475817595578,0.9114285714285715,0.36363636363636365
0.6147672552166934,0.8207142857142857,0.45454545454545453
0.650200267022697,0.6957142857142857,0.5454545454545454
0.6744621141253508,0.515,0.6363636363636364
0.6808510638297872,0.32,0.7272727272727273
0.7109826589595376,0.1757142857142857,0.8181818181818182
0.7251908396946565,0.06785714285714285,0.9090909090909091
0.7727272727272727,0.012142857142857143,1.0
