mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
136,M,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional completa,Pensionado,Técnica o tecnológica completa,Hogar,Bachiller académico,0,Menos de 500 mil,No,No,22,1
135,F,,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Postgrado,Pensionado,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Entre 21 y 30 horas,No pagó matrícula,Si,No,26,1
163,F,Estrato 2,Si,No, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica incompleta,Empresario,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 21 y 30 horas,No pagó matrícula,No,No,23,0
77,M,Estrato 3,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Pensionado,Primaria completa,Pensionado,Bachiller académico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,45,1
143,M,Estrato 2,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Primaria incompleta,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,30,0
95,F,Estrato 3,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Pensionado,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,Si,No,30,1
127,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Primaria completa,Otra actividad u ocupación,Secundaria (Bachillerato) incompleta,Hogar,Bachiller académico,Menos de 10 horas,Entre 1 millón y menos de 2.5 millones,No,No,25,1
150,F,,Si,Si,,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Entre 21 y 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,21,0
122,F,Estrato 1,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,21,1
144,M,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Otra actividad u ocupación,Educación profesional incompleta,Empleado de nivel auxiliar o administrativo,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,Si,No,23,0
115,M,Estrato 2,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Primaria completa,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,23,1
142,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Pequeño empresario,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,25,1
95,M,Estrato 3,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) completa,Empleado obrero u operario,Bachiller académico,0,Entre 1 millón y menos de 2.5 millones,Si,Si,31,1
110,M,Estrato 3,Si,Si,,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Educación profesional incompleta,Trabajador por cuenta propia,Bachiller académico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,22,1
133,F,Estrato 1,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Otra actividad u ocupación,Técnica o tecnológica incompleta,Otra actividad u ocupación,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,26,1
142,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,23,1
135,M,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Ninguno,Empleado obrero u operario,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,31,1
161,F,Estrato 3,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Trabajador por cuenta propia,Educación profesional completa,Pensionado,Bachiller académico,Más de 30 horas,Más de 7 millones,No,No,22,0
97,F,Estrato 2,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Primaria incompleta,Profesional Independiente,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,34,1
100,F,Estrato 3,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Técnica o tecnológica completa,Hogar,Bachiller académico,0,Entre 4 millones y menos de 5.5 millones,Si,Si,23,1
146,F,Estrato 3,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 5.5 millones y menos de 7 millones,No,No,20,0
166,F,Estrato 1,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Ninguno,Empleado obrero u operario,Primaria incompleta,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,31,0
124,F,Estrato 1,Si,No, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Hogar,Secundaria (Bachillerato) incompleta,Hogar,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,28,1
162,F,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,OFICIAL NACIONAL,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Técnica o tecnológica completa,Empleado de nivel auxiliar o administrativo,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,21,0
108,F,Estrato 2,No,No,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Bachiller académico,Más de 30 horas,Más de 7 millones,No,No,28,1
189,F,Estrato 4,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Educación profesional completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Más de 7 millones,Si,No,21,0
151,F,Estrato 3,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado con cargo como director o gerente general,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Bachiller técnico,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,Si,No,21,0
107,F,Estrato 1,No,No,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,0,Entre 2.5 millones y menos de 4 millones,No,No,20,1
214,M,Estrato 3,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Técnica o tecnológica completa,Hogar,Bachiller técnico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,0
178,F,Estrato 1,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado de nivel auxiliar o administrativo,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,32,0
169,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Otra actividad u ocupación,Educación profesional completa,Hogar,Bachiller pedagógico o normalista,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,0
143,F,,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Postgrado,Empleado de nivel técnico o profesional,Bachiller pedagógico o normalista,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,No,No,22,0
102,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Otra actividad u ocupación,Secundaria (Bachillerato) incompleta,Profesional Independiente,Bachiller académico,Entre 21 y 30 horas,Entre 5.5 millones y menos de 7 millones,Si,Si,22,1
126,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Otra actividad u ocupación,Primaria incompleta,Hogar,Bachiller académico,0,Entre 4 millones y menos de 5.5 millones,No,No,32,1
101,M,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller técnico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,Si,22,1
131,M,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller técnico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,Si,No,22,1
191,M,Estrato 3,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Trabajador por cuenta propia,Educación profesional completa,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,Si,20,0
146,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) incompleta,Hogar,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,27,0
101,M,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado de nivel técnico o profesional,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,24,1
96,F,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,1
118,F,Estrato 1,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Postgrado,Otra actividad u ocupación,Primaria incompleta,Otra actividad u ocupación,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,30,1
173,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller pedagógico o normalista,0,Entre 5.5 millones y menos de 7 millones,No,Si,21,0
99,M,Estrato 3,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Pensionado,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,22,1
173,F,Estrato 2,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Técnica o tecnológica incompleta,Otra actividad u ocupación,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,28,0
122,M,Estrato 3,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Educación profesional completa,Profesional independiente,Secundaria (Bachillerato) completa,Pensionado,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,36,1
159,M,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Secundaria (Bachillerato) completa,Hogar,Secundaria (Bachillerato) completa,Hogar,,0,,Si,Si,33,0
176,F,Estrato 2,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica incompleta,Pensionado,Técnica o tecnológica incompleta,Empleado obrero u operario,Bachiller académico,0,Entre 4 millones y menos de 5.5 millones,No,No,21,0
138,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional incompleta,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,25,1
140,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Profesional independiente,Educación profesional completa,Trabajador por cuenta propia,Bachiller académico,0,Entre 1 millón y menos de 2.5 millones,No,Si,20,1
166,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica incompleta,Profesional independiente,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Menos de 10 horas,Más de 7 millones,Si,Si,20,0
134,F,Estrato 3,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Profesional independiente,Educación profesional completa,Pequeño empresario,Bachiller académico,0,Entre 2.5 millones y menos de 4 millones,Si,No,21,1
180,M,Estrato 2,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Empleado obrero u operario,Bachiller académico,Menos de 10 horas,Entre 4 millones y menos de 5.5 millones,No,Si,21,0
102,F,,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Educación profesional completa,Profesional Independiente,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,1
126,M,Estrato 2,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empresario,Educación profesional completa,Pensionado,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,No,No,23,1
157,M,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria completa,Pequeño empresario,Primaria completa,Hogar,Bachiller técnico,Entre 21 y 30 horas,Entre 2.5 millones y menos de 4 millones,Si,No,21,0
126,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Primaria completa,Hogar,Bachiller técnico,Entre 11 y 20 horas,Más de 7 millones,No,Si,23,1
224,M,Estrato 4,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Postgrado,Empleado de nivel técnico o profesional,Bachiller académico,0,Más de 7 millones,Si,No,22,0
126,M,Estrato 3,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Educación profesional completa,Empleado con cargo como director o gerente general,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,Si,No,21,1
130,F,Estrato 3,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Pequeño empresario,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Bachiller académico,Menos de 10 horas,Entre 5.5 millones y menos de 7 millones,Si,No,21,1
154,M,Estrato 1,No,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Menos de 10 horas,Entre 500 mil y menos de 1 millón,No,Si,23,0
183,M,Estrato 3,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller académico,Menos de 10 horas,Entre 500 mil y menos de 1 millón,No,Si,22,0
131,M,,,,,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria completa,Pequeño empresario,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,,Menos de 500 mil,,,23,1
171,M,Estrato 1,No,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller académico,Más de 30 horas,Menos de 500 mil,No,No,22,0
139,F,Estrato 2,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Empleado obrero u operario,Primaria incompleta,Hogar,Bachiller técnico,0,No pagó matrícula,No,No,26,1
190,M,Estrato 3,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Pensionado,Técnica o tecnológica completa,Hogar,Bachiller técnico,0,No pagó matrícula,No,No,21,0
168,F,Estrato 2,No,No,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,No pagó matrícula,No,Si,23,0
124,F,Estrato 1,No,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) incompleta,Otra actividad u ocupación,Primaria incompleta,Hogar,Bachiller académico,Entre 11 y 20 horas,No pagó matrícula,No,No,24,1
132,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional completa,Profesional independiente,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller académico,Entre 21 y 30 horas,Menos de 500 mil,No,No,20,1
141,F,Estrato 1,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica incompleta,,Secundaria (Bachillerato) incompleta,,,Entre 21 y 30 horas,,No,No,21,1
139,M,Estrato 1,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 1 millón y menos de 2.5 millones,No,No,22,1
94,F,Estrato 2,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Primaria completa,Otra actividad u ocupación,Bachiller técnico,Entre 21 y 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,37,1
114,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Técnica o tecnológica incompleta,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,22,1
162,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,21,0
111,F,Estrato 2,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Técnica o tecnológica completa,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,24,1
158,F,Estrato 1,Si,Si, Propios,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado de nivel auxiliar o administrativo,Técnica o tecnológica incompleta,Empleado obrero u operario,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,30,0
83,M,Estrato 5,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,Si,No,27,1
113,M,Estrato 2,No,No,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Primaria incompleta,Trabajador por cuenta propia,Bachiller técnico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,No,No,35,1
135,F,Estrato 1,No,No,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Empleado obrero u operario,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller técnico,Más de 30 horas,Más de 7 millones,Si,No,23,1
174,F,Estrato 1,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Profesional independiente,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller académico,Más de 30 horas,Más de 7 millones,Si,No,23,0
120,M,Estrato 1,No,No,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Pequeño empresario,Educación profesional completa,Profesional Independiente,Bachiller académico,Menos de 10 horas,Más de 7 millones,No,No,24,1
149,M,Estrato 4,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Postgrado,Trabajador por cuenta propia,Postgrado,Trabajador por cuenta propia,Bachiller académico,0,Más de 7 millones,Si,No,23,0
122,F,Estrato 3,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Trabajador por cuenta propia,Educación profesional completa,Profesional Independiente,Bachiller académico,0,Más de 7 millones,No,No,24,1
173,M,Estrato 3,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,No sabe,Profesional independiente,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Menos de 10 horas,Más de 7 millones,Si,No,21,0
177,M,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,OFICIAL NACIONAL,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Bachiller académico,Más de 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,21,0
149,M,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,OFICIAL NACIONAL,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,32,0
166,M,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,OFICIAL NACIONAL,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller técnico,Entre 21 y 30 horas,No pagó matrícula,No,Si,25,0
170,M,Estrato 3,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,OFICIAL NACIONAL,Técnica o tecnológica incompleta,Otra actividad u ocupación,Técnica o tecnológica completa,Otra actividad u ocupación,Bachiller técnico,Más de 30 horas,No pagó matrícula,No,No,21,0
115,F,Estrato 2,No,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Otra actividad u ocupación,Postgrado,Empleado de nivel técnico o profesional,Bachiller académico,Entre 21 y 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,26,1
170,F,Estrato 1,No,No,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,0
109,F,Estrato 3,No,No,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller técnico,0,Entre 5.5 millones y menos de 7 millones,No,No,21,1
