mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
161,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Pensionado,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Bachiller académico,Entre 11 y 20 horas,No pagó matrícula,Si,No,24,0
146,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 500 mil y menos de 1 millón,No,No,22,0
174,F,Estrato 1,No,Si, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Técnica o tecnológica completa,Hogar,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,22,0
178,M,Estrato 3,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Postgrado,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Hogar,Bachiller académico,Más de 30 horas,No pagó matrícula,Si,No,26,0
133,F,Estrato 3,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Pensionado,Educación profesional incompleta,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,24,1
162,F,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Técnica o tecnológica completa,Pequeño empresario,Bachiller técnico,Más de 30 horas,No pagó matrícula,No,No,24,0
148,F,Estrato 1,No,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 500 mil y menos de 1 millón,No,No,24,0
131,F,Estrato 1,No,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Trabajador por cuenta propia,Técnica o tecnológica completa,Hogar,Bachiller académico,Más de 30 horas,Menos de 500 mil,No,No,23,1
121,M,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Primaria incompleta,Trabajador por cuenta propia,Bachiller académico,Entre 11 y 20 horas,No pagó matrícula,No,Si,33,1
88,F,Estrato 3,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Primaria incompleta,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,34,1
124,F,Estrato 1,No,Si,Creditos,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller técnico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,25,1
98,M,Estrato 3,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN TECNOLÓGICA,NO OFICIAL - CORPORACIÓN,Educación profesional incompleta,Empleado de nivel técnico o profesional,Educación profesional completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,Si,Si,27,1
97,F,Estrato 3,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado de nivel técnico o profesional,Educación profesional completa,Empresario,Bachiller técnico,Entre 21 y 30 horas,Entre 1 millón y menos de 2.5 millones,No,Si,22,1
138,M,Estrato 3,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,,Educación profesional completa,,,Más de 30 horas,,Si,Si,23,1
169,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Educación profesional completa,Empleado de nivel auxiliar o administrativo,Bachiller técnico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,23,0
170,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller técnico,Menos de 10 horas,Entre 4 millones y menos de 5.5 millones,No,Si,22,0
